INOX;(0.00, 0.00, 0.00);(0.50, 0.50, 0.50);(0.98, 0.98, 0.98);(0.00, 0.00, 0.00);0.02;0.00
ACIER;(0.00, 0.00, 0.00);(0.20, 0.20, 0.20);(0.98, 0.98, 0.98);(0.00, 0.00, 0.00);0.02;0.00
CORDE A PIANO;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00);(0.98, 0.98, 0.98);(0.00, 0.00, 0.00);0.06;0.00
LAITON;(0.78, 0.56, 0.11);(0.33, 0.22, 0.03);(0.99, 0.94, 0.80);(0.00, 0.00, 0.00);0.22;0.00
BRONZE PHOSPHOREUX;(0.71, 0.43, 0.18);(0.21, 0.13, 0.05);(0.39, 0.27, 0.16);(0.00, 0.00, 0.00);0.20;0.00
BRONZE BERYLLIUM;(0.71, 0.43, 0.18);(0.25, 0.15, 0.08);(0.49, 0.37, 0.26);(0.00, 0.00, 0.00);0.25;0.00
HIGHLIGHT;(0.22, 0.96, 0.87);(1.00, 1.00, 1.00);(0.61, 0.61, 0.61);(0.00, 0.90, 0.41);0.05;0.50
UNKNOWN MATERIAL;(0.00, 0.00, 0.00);(0.29, 0.29, 0.29);(0.98, 0.98, 0.98);(0.00, 0.00, 0.00);0.02;0.00
